Golfer,Mean,Stdev,Odds,Percent
Matt Fitzpatrick,2.053,1.7,46,2.17%
Cameron Smith,2.048,1.7,17,5.88%
Justin Thomas,1.8,1.7,13,7.69%
Daniel Berger,1.702,1.7,41,2.44%
Rory McIlroy,1.6,1.7,21,4.76%
Jon Rahm,1.582,1.7,12,8.33%
Russell Henley,1.571,1.7,56,1.79%
Tyrrell Hatton,1.539,1.7,56,1.79%
Scottie Scheffler,1.532,1.7,17,5.88%
Shane Lowry,1.485,1.7,41,2.44%
Sam Burns,1.483,1.7,41,2.44%
Will Zalatoris,1.467,1.7,36,2.78%
Sungjae Im,1.447,1.7,67,1.49%
Billy Horschel,1.394,1.7,81,1.23%
Robert Macintyre,1.391,1.7,126,0.79%
Collin Morikawa,1.361,1.7,19,5.26%
Patrick Cantlay,1.314,1.7,23,4.35%
Joaquin Niemann,1.31,1.7,51,1.96%
Xander Schauffele,1.282,1.7,23,4.35%
Marc Leishman,1.153,1.7,71,1.41%
Corey Conners,1.133,1.7,51,1.96%
Max Homa,1.126,1.7,101,0.99%
Talor Gooch,1.078,1.7,111,0.90%
Tom Hoge,1.077,1.7,151,0.66%
Tommy Fleetwood,1.063,1.7,71,1.41%
Viktor Hovland,1.052,1.7,21,4.76%
Gary Woodland,1.038,1.7,91,1.10%
Cameron Young,1.032,1.7,126,0.79%
Hideki Matsuyama,0.962,1.7,41,2.44%
Luke List,0.872,1.7,141,0.71%
Adam Scott,0.867,1.7,56,1.79%
Dustin Johnson,0.806,1.7,17,5.88%
Paul Casey,0.801,1.7,61,1.64%
Mackenzie Hughes,0.751,1.7,251,0.40%
Louis Oosthuizen,0.741,1.7,41,2.44%
Sergio Garcia,0.676,1.7,81,1.23%
Kevin Kisner,0.66,1.7,126,0.79%
Christiaan Bezuidenhout,0.61,1.7,151,0.66%
Webb Simpson,0.595,1.7,111,0.90%
Seamus Power,0.58,1.7,111,0.90%
J.J. Spaun,0.508,1.7,251,0.40%
Harold Varner III,0.458,1.7,151,0.66%
Jordan Spieth,0.287,1.7,21,4.76%
Si Woo Kim,0.251,1.7,91,1.10%
Brian Harman,0.247,1.7,101,0.99%
Jason Kokrak,0.243,1.7,126,0.79%
Brooks Koepka,0.166,1.7,21,4.76%
Danny Willett,0.092,1.7,226,0.44%
Tony Finau,0.079,1.7,56,1.79%
Sepp Straka,0.077,1.7,201,0.50%
K.H. Lee,0.068,1.7,251,0.40%
Ryan Palmer,0.042,1.7,201,0.50%
Justin Rose,0.021,1.7,81,1.23%
Bubba Watson,0.011,1.7,76,1.32%
Guido Migliozzi,0,1.7,401,0.25%
Matthew Wolff,-0.122,1.7,201,0.50%
Erik Van Rooyen,-0.15,1.7,176,0.57%
Lucas Glover,-0.191,1.7,301,0.33%
Zach Johnson,-0.207,1.7,301,0.33%
Cameron Davis,-0.235,1.7,251,0.40%
Abraham Ancer,-0.24,1.7,71,1.41%
Hudson Swafford,-0.251,1.7,401,0.25%
Francesco Molinari,-0.401,1.7,201,0.50%
Harry Higgs,-0.484,1.7,401,0.25%
Thomas Pieters,-0.5,1.7,126,0.79%
Cameron Champ,-0.581,1.7,201,0.50%
Garrick Higgo,-0.581,1.7,276,0.36%
Lucas Herbert,-0.607,1.7,226,0.44%
Stewart Cink,-0.697,1.7,251,0.40%
Kevin Na,-0.734,1.7,176,0.57%
Patrick Reed,-0.889,1.7,81,1.23%
Bryson DeChambeau,-1.005,1.7,41,2.44%
Lee Westwood,-1.784,1.7,161,0.62%
Padraig Harrington,-2,1.7,251,0.40%
Takumi Kanaya,-2,1.7,301,0.33%
Mike Weir,-2,1.7,1501,0.07%
Tiger Woods,-2.05,1.7,61,1.64%
Charl Schwartzel,-2.78,1.7,351,0.28%
Min Woo Lee,-4,1.7,276,0.36%
Keita Nakajima,-4,1.7,351,0.28%
Fred Couples,-4,1.7,1001,0.10%
Stewart Hagestad,-4,1.7,1001,0.10%
Laird Shepherd,-4,1.7,1001,0.10%
Austin Greaser,-4,1.7,1251,0.08%
Vijay Singh,-4,1.7,1501,0.07%
James Piot,-4,1.7,1501,0.07%
Aaron Jarvis,-4,1.7,2001,0.05%
Jose Maria Olazabal,-4,1.7,2501,0.04%
Larry Mize,-4,1.7,4001,0.02%
Sandy Lyle,-4,1.7,4001,0.02%
