0,1,percent,odds
Abraham Ancer,47,0.0047,212.7659574468085
Adam Scott,863,0.0863,11.587485515643106
Billy Horschel,2283,0.2283,4.380201489268506
Brian Harman,230,0.023,43.47826086956522
Brooks Koepka,159,0.0159,62.893081761006286
Bryson DeChambeau,1,0.0001,10000.0
Bubba Watson,89,0.0089,112.35955056179776
Cameron Champ,17,0.0017,588.2352941176471
Cameron Davis,43,0.0043,232.5581395348837
Cameron Smith,5136,0.5136,1.9470404984423677
Cameron Young,1209,0.1209,8.271298593879239
Christiaan Bezuidenhout,475,0.0475,21.05263157894737
Collin Morikawa,2203,0.2203,4.5392646391284615
Corey Conners,1421,0.1421,7.037297677691766
Daniel Berger,3569,0.3569,2.8019052956010086
Danny Willett,149,0.0149,67.11409395973155
Dustin Johnson,791,0.0791,12.642225031605562
Erik Van Rooyen,70,0.007,142.85714285714286
Francesco Molinari,25,0.0025,400.0
Garrick Higgo,18,0.0018,555.5555555555555
Gary Woodland,1314,0.1314,7.610350076103502
Guido Migliozzi,112,0.0112,89.28571428571429
Harold Varner III,336,0.0336,29.761904761904763
Harry Higgs,16,0.0016,625.0
Hideki Matsuyama,1157,0.1157,8.64304235090752
Hudson Swafford,56,0.0056,178.57142857142858
J.J. Spaun,395,0.0395,25.31645569620253
Jason Kokrak,224,0.0224,44.642857142857146
Joaquin Niemann,2134,0.2134,4.686035613870665
Jon Rahm,3035,0.3035,3.2948929159802307
Jordan Spieth,270,0.027,37.03703703703704
Justin Rose,90,0.009,111.11111111111111
Justin Thomas,4110,0.411,2.4330900243309004
K.H. Lee,121,0.0121,82.64462809917356
Kevin Kisner,595,0.0595,16.80672268907563
Kevin Na,9,0.0009,1111.111111111111
Louis Oosthuizen,683,0.0683,14.641288433382138
Lucas Glover,70,0.007,142.85714285714286
Lucas Herbert,13,0.0013,769.2307692307693
Luke List,883,0.0883,11.325028312570781
Mackenzie Hughes,749,0.0749,13.35113484646195
Marc Leishman,1632,0.1632,6.127450980392156
Matt Fitzpatrick,5377,0.5377,1.859773107680863
Matthew Wolff,89,0.0089,112.35955056179776
Max Homa,1490,0.149,6.7114093959731544
Patrick Cantlay,2014,0.2014,4.96524329692155
Patrick Reed,9,0.0009,1111.111111111111
Paul Casey,761,0.0761,13.140604467805518
Robert Macintyre,2211,0.2211,4.522840343735866
Rory McIlroy,3058,0.3058,3.2701111837802483
Russell Henley,2890,0.289,3.4602076124567476
Ryan Palmer,136,0.0136,73.52941176470588
Sam Burns,2630,0.263,3.8022813688212924
Scottie Scheffler,2817,0.2817,3.549875754348598
Seamus Power,458,0.0458,21.83406113537118
Sepp Straka,143,0.0143,69.93006993006993
Sergio Garcia,667,0.0667,14.992503748125937
Shane Lowry,2645,0.2645,3.7807183364839316
Si Woo Kim,184,0.0184,54.34782608695652
Stewart Cink,8,0.0008,1250.0
Sungjae Im,2523,0.2523,3.9635354736424886
Talor Gooch,1194,0.1194,8.375209380234505
Thomas Pieters,15,0.0015,666.6666666666666
Tom Hoge,1312,0.1312,7.621951219512194
Tommy Fleetwood,1368,0.1368,7.309941520467836
Tony Finau,138,0.0138,72.46376811594203
Tyrrell Hatton,2698,0.2698,3.7064492216456637
Viktor Hovland,1297,0.1297,7.710100231303007
Webb Simpson,505,0.0505,19.801980198019802
Will Zalatoris,2599,0.2599,3.847633705271258
Xander Schauffele,1910,0.191,5.2356020942408374
Zach Johnson,52,0.0052,192.30769230769232
